    ,name                    ,t4    ,p100  ,v100  ,deadline
31  ,1be4560500ce71cacda45710,1401  ,846   ,426   ,inf
32  ,4f503649aa25bd2200cf9896,1836  ,972   ,592   ,inf
33  ,ff8b63a12ae33c18d52caeaf,242   ,141   ,73    ,inf
34  ,d73b14caa39b9dfd1fba9417,336   ,199   ,122   ,inf
35  ,2f7d1c38e03df822023081be,23    ,15    ,9     ,50.0
36  ,6dc65a263ea969bf20498004,33    ,18    ,10    ,18.0
37  ,a9d398d0f877f84884c95b49,52    ,30    ,16    ,inf
38  ,43093826ef31bc095063cc72,649   ,341   ,195   ,2088.0
39  ,ee37efa38f785dd055e58f6f,18696 ,12354 ,7305  ,inf
40  ,05c9c0b2ea0cd0023f6d5755,304   ,202   ,116   ,inf
41  ,bd50dfad922f89f423d5d8ed,23    ,12    ,8     ,inf
42  ,0c157521441335608f4835de,34    ,21    ,13    ,inf
43  ,48fb5d18cb2e4dab3383506d,118   ,64    ,36    ,inf
44  ,0968d05b89aaaf9de8ace8c9,24    ,15    ,9     ,inf
45  ,c9cc6898de63380a664e41f9,42    ,22    ,12    ,inf
46  ,d60aa06e369c6f6f11871ed1,24    ,15    ,9     ,inf
47  ,6722018b8079ba3c36078cb2,44    ,25    ,16    ,inf
48  ,7644ff984a274a6fda647c2d,34    ,17    ,11    ,119.0
49  ,daf3a70bd350e39c92c8c9b2,23    ,15    ,7     ,26.0
50  ,20737ff9f389dbdb77087210,164   ,109   ,51    ,inf
51  ,e0def7234b46377a715fe959,262   ,160   ,92    ,inf
52  ,0150e8e6cb6551b8d9a43667,47    ,30    ,18    ,inf
53  ,ef4a691a02e3dcbffeb57a18,34    ,22    ,14    ,inf
54  ,1087fb77827e5556cd58f6a3,42    ,22    ,13    ,70.0
55  ,18100b4a0df1574dca75ef35,88    ,51    ,33    ,inf
56  ,799b2990062f3a1d0933f21b,24    ,13    ,8     ,inf
57  ,011a5b027bffb2bbb6d82aef,84    ,47    ,26    ,inf
58  ,171308fe5f4bc3041a20e01c,24    ,15    ,8     ,47.0
59  ,e30517266dfcbf2f5427eea0,59    ,39    ,22    ,inf
60  ,80cacd12cf0d45a694265c8f,34    ,18    ,10    ,inf
61  ,887eb7f73298ea2565798364,23    ,12    ,9     ,inf
62  ,7d9e9f004e79b02ef8fc1c6b,34    ,20    ,12    ,inf
63  ,41aab38f435ebc7a63cf1853,78    ,41    ,28    ,inf
64  ,a6739bcd2dce68ad00e23846,694   ,379   ,278   ,inf
65  ,157e588dcbd94e972fdffb33,148   ,84    ,44    ,472.0
66  ,50f0a33cd9aacfdd9f8c4947,23    ,14    ,9     ,inf
67  ,bd1dcbb35c0080552ca0ca64,23    ,12    ,7     ,inf
68  ,05a34241fd5545e5e9662442,58    ,37    ,21    ,inf
69  ,df9c6033abd7651f9c9ebd35,637   ,354   ,195   ,inf
70  ,6cd65f73f01515ed6ba0657a,33    ,20    ,10    ,inf
71  ,8b7fce453773076c2ec21a9e,71    ,36    ,16    ,43.0
72  ,02c3ea180fe787e8d1777cc2,24    ,15    ,8     ,19.0
73  ,bbe772d31738a42405be068e,34    ,20    ,10    ,inf
74  ,a35be87ca2a5d1a470363c8b,11167 ,6626  ,3830  ,inf
75  ,84acdb7f06d18987d4d62b98,156   ,88    ,57    ,inf
76  ,9ff5147ba34ff9769c10a2c9,23    ,13    ,8     ,39.0
77  ,1e397b715785a068c24b9211,24    ,15    ,8     ,25.0
78  ,7a4e65b97d9bd9074079ddef,352   ,224   ,125   ,inf
79  ,3932d16976bf1f5e52900c61,36    ,18    ,11    ,inf
80  ,7bfb22106f3f35157ecbb92e,23    ,12    ,8     ,61.0
81  ,ad863896d3c19fe50063ed66,24    ,15    ,7     ,inf
82  ,a6d88b4e941fa2a24b75b437,70    ,40    ,27    ,45.0
83  ,ea872c03e54c89de85b99f35,88    ,45    ,31    ,inf
84  ,fa311eae0bef1231bb45295d,33    ,18    ,10    ,inf
85  ,74dfd0447a2ce34ba67c1c5a,24    ,14    ,7     ,35.0
86  ,7e996212a2d9ab5a6efad359,23    ,12    ,8     ,inf
87  ,cdb1a230495eacf7691a4dfb,23    ,12    ,7     ,inf
88  ,7ebc4ed39f86902d61d8ade1,67    ,40    ,20    ,inf
89  ,7d5648b5c3ba8497e9be4e99,43    ,26    ,15    ,inf
90  ,6aabbfceec9650f21f73a181,25    ,14    ,9     ,inf
91  ,0fafa7ea7dc3a79d3668ebae,33    ,18    ,12    ,inf
92  ,c2196e3d92918c9ec45e2592,23    ,13    ,8     ,18.0
93  ,23da4c20b48b2cfd33b1862b,24    ,15    ,8     ,inf
94  ,374374c41051ad5f05747098,34    ,20    ,12    ,100.0
95  ,b750b0827d4845edf7dd8d2b,1892  ,1182  ,551   ,inf
96  ,5d3f31db18e7855512ca82cf,24    ,13    ,9     ,inf
97  ,95fc023eebef92c32442cb17,44    ,27    ,15    ,inf
98  ,43110a0ebf27ebcb9de81d0b,577   ,330   ,180   ,inf
99  ,6284756d98c5ee49d1be5d6b,24    ,12    ,8     ,inf
100 ,46b3a6124315e08b46dadf04,33    ,18    ,11    ,inf
101 ,6d133b1669a076532e06a54e,23    ,12    ,8     ,inf
102 ,a73ee4f47fb17fb2a2b39369,538   ,298   ,194   ,486.0
103 ,dd6a91dd04d97a0df8932900,24    ,13    ,8     ,inf
104 ,2fed1efc822171cc879e3e19,65    ,41    ,21    ,inf
105 ,c69f8121dcf09c6de524994b,24    ,14    ,9     ,inf
106 ,fcf62898c50339c522d39838,34    ,22    ,11    ,inf
107 ,73b503e217ef6576d0e4f7c2,23    ,13    ,9     ,inf
108 ,c7547cab20aa1c1c421ae3c4,34    ,20    ,11    ,inf
109 ,2634298e38432d01c618a913,1081  ,807   ,425   ,2633.0
110 ,7a08f4e762edafdff7f38dbc,23    ,14    ,8     ,inf
111 ,ebaa16b1cc86d59a6d7e9f35,538   ,350   ,191   ,inf
112 ,05e70c9045fb0e085b91566e,34    ,18    ,13    ,inf
113 ,df9592db6e246c1132183185,44    ,27    ,13    ,inf
114 ,f7a18d8a79b355e8c124575e,504   ,331   ,192   ,inf
115 ,6d981366fc6c189e9ec80f1a,150   ,92    ,62    ,inf
116 ,e9462c0b314ccc6d42b8ce0a,33    ,19    ,12    ,inf
117 ,758fc0ed8b4bb4e3bd37f400,72    ,41    ,22    ,inf
118 ,39c04cd8e118cb697313b499,23    ,12    ,8     ,inf
119 ,bbf6317a6bfa813b721ee25c,18674 ,9806  ,7339  ,inf
120 ,90e72faf2084be8ccf2015f8,24    ,14    ,8     ,inf
121 ,b22c0735cade3de50b9ae66d,500   ,291   ,181   ,inf
122 ,3cb01ccafdeee7e981716207,34    ,20    ,13    ,inf
123 ,236c46f7af184764ae8c69e9,24    ,13    ,7     ,inf
124 ,02302a8f5abd19364bbb9d54,24    ,12    ,8     ,inf
125 ,9075f358b1a42eb78f6c4e6f,33    ,19    ,12    ,95.0
126 ,5e7996f5cd1658dae00b6a6e,24    ,12    ,9     ,26.0
127 ,513beb58a19cbc2200044526,24    ,15    ,10    ,inf
128 ,5cf9e63a8c8c48187f53dccf,843   ,455   ,223   ,inf
129 ,e4596a061c42bf70293fc716,354   ,183   ,130   ,495.0
130 ,56423c47a752c2486c0fa663,166   ,106   ,56    ,369.0
131 ,c6b1b6f1aaf39e115103ef87,60    ,31    ,19    ,55.0
132 ,bcb1e5c5b8b1e7ba47bf6d14,13751 ,6897  ,4457  ,21895.0
133 ,9d81cb85d0ef9ffe5c062964,43    ,28    ,14    ,inf
134 ,b240bd4a7c32fd7f549bcbeb,49    ,31    ,17    ,39.0
135 ,c6039a494b422d5f0b79c687,24    ,13    ,9     ,inf
136 ,72604c235afc4fe678e19731,50    ,27    ,15    ,inf
137 ,5f6831e9aaa8a7e380df9a7b,34    ,22    ,12    ,inf
138 ,26d18628690b78a39ef7f634,589   ,283   ,188   ,950.0
139 ,5a5a81187ac23a2256e672ce,34    ,22    ,10    ,inf
140 ,b9acbae6f96508b2bb955b1f,934   ,484   ,293   ,inf
141 ,df317a7434b3db1b74a32239,103   ,82    ,37    ,inf
142 ,b77271329173d1b0e8997fdc,102   ,52    ,25    ,inf
143 ,2cffb64fc85e01606889fd33,24    ,12    ,7     ,inf
144 ,9b41a341c0a56f0d49ba7fc7,336   ,186   ,98    ,inf
145 ,0f42dca9b1dec225a7d7f95d,69    ,36    ,19    ,inf
146 ,cb0f71738f73e0bbf72ffc76,104   ,52    ,32    ,inf
147 ,44cd63d0a5dac600e30f998e,337   ,190   ,119   ,inf
148 ,a15c287e894f11f5a9d21ade,130   ,79    ,44    ,149.0
149 ,c51537e82a139a480acf18eb,33    ,21    ,12    ,inf
150 ,8dab73436d890cca07fd4e8f,34    ,18    ,12    ,inf
151 ,16c18fd038fc15456ad93d3e,48    ,30    ,20    ,91.0
152 ,fa78e3ccafcc29e87a293088,78167 ,37673 ,23054 ,inf
153 ,5c3bf7e7e8e48e5cfec78000,68    ,40    ,23    ,41.0
154 ,bfedc12367dfeed5bff5a590,51    ,30    ,17    ,43.0
155 ,1c4b89a8ad3147798d2d4b93,24    ,12    ,9     ,inf
156 ,0d6c4f37a1b04fa18df82101,583   ,304   ,204   ,inf
157 ,0646fc148e2023b85dd6bbfc,461   ,256   ,169   ,inf
158 ,dadebf1d83ead61689d90df2,23    ,12    ,8     ,inf
159 ,74b33d5af93b7b063bf7d760,132   ,82    ,47    ,inf
160 ,50b2e5c787da0013e336f6bc,34    ,19    ,11    ,inf
161 ,857c38249db870797595e152,1913  ,993   ,683   ,inf
162 ,48fc264ce5efccba49979090,5806  ,3062  ,2321  ,16636.0
163 ,308a3003d6532af0a55e42c9,23    ,12    ,8     ,inf
164 ,c774fa607c454499d5fcca37,19801 ,12305 ,7027  ,inf
165 ,d56eb5a708ef8065366f25e5,24    ,13    ,9     ,inf
166 ,93d4e5f3bef555dc2bf2b9cc,291   ,197   ,110   ,inf
167 ,2e94bb0066fdf81a4d544380,24    ,15    ,7     ,inf
168 ,f870174b758c21876601d0b2,23    ,12    ,9     ,inf
169 ,99e51f4262e185df7c150c76,24    ,14    ,9     ,26.0
170 ,da20e8709aa718c416ba8d57,62    ,37    ,20    ,inf
171 ,9844f2b98fcdfb06da24c27c,61    ,32    ,15    ,inf
172 ,17109e11101e4440ff2a8d8d,24    ,15    ,8     ,inf
173 ,50d46f8d805ca86e65219a3a,251   ,130   ,89    ,inf
174 ,7336bc43caaf38d5607c077d,41    ,25    ,16    ,inf
175 ,86f5cd5c9b6db779144b0692,51783 ,26753 ,16150 ,inf
176 ,fb19162df4537bfaacf3b1ed,24    ,13    ,7     ,inf
177 ,80b54ba5386357c8fadb5cf1,34    ,17    ,11    ,inf
178 ,5784d64497142edf4e8ebd6c,34    ,19    ,10    ,inf
179 ,a8381a33aabdfaa1ae5137f2,23    ,13    ,8     ,inf
180 ,b4130d851a51660dfe45c29a,69    ,38    ,23    ,45.0
181 ,e96c7065f77437bbbee40ee2,54    ,31    ,17    ,inf
182 ,83cd99554c5b89b09cdeb86a,23    ,13    ,7     ,inf
183 ,815bfcb713ef5f9bde3156ec,44    ,28    ,14    ,inf
184 ,439150819566b9e67d1a0816,170   ,108   ,67    ,187.0
185 ,c2b6250f633456299ac2acdf,126   ,81    ,48    ,221.0
186 ,0156a8e3a9d6a55ca36da943,650   ,392   ,212   ,601.0
187 ,cb2f8e88e27d8afb36d5d5ac,33    ,17    ,11    ,inf
188 ,f8536cf57be9d87e0f7751f5,87    ,51    ,31    ,inf
189 ,c2b03689b6d7585520a466e0,78    ,40    ,26    ,inf
190 ,2ca1b3517c9b2cc2f2bc9820,29    ,18    ,12    ,45.0
191 ,5a8ae6e41bbb1d77d1c3d5e8,90    ,49    ,29    ,inf
192 ,8a0d7dfc90b79131c8c153c9,323   ,185   ,87    ,inf
193 ,54dc528371d28262db53dc9e,24    ,15    ,9     ,inf
194 ,51cccc9e37f3df7e10f6ebe4,23    ,13    ,9     ,inf
195 ,0a08bc4529a34ad8242670ba,62    ,40    ,25    ,inf
196 ,598efdbc244da80563c6ebd6,24    ,13    ,7     ,18.0
197 ,bda3d79c87608a7b7a6be8a4,23    ,13    ,7     ,16.0
198 ,a87eef07186778c8872b6acc,24    ,14    ,7     ,inf
199 ,4b907412735cab97a7b1f6b4,24    ,15    ,8     ,inf
200 ,d4acd769bbd8a454a687dce6,34    ,19    ,10    ,inf
201 ,21a4b4a90e68123ced256a9d,7226  ,4685  ,2266  ,15660.0
202 ,70aa1abc42668775222d8777,23    ,14    ,9     ,inf
203 ,2e02d4b375e9ddcef51bbc80,44    ,28    ,13    ,inf
204 ,0d65b426cae3bbbf8dd70606,216   ,114   ,62    ,135.0
205 ,f844dc1e305a2563e9d34061,74    ,41    ,25    ,inf
206 ,7860e4fb6afd6d43614780cf,558   ,293   ,179   ,inf
207 ,6c128d39d5cd5eae25afabc1,22    ,11    ,7     ,49.0
208 ,18a932450578693132f25a60,65    ,34    ,20    ,inf
209 ,376c46942eea5b4c0ded89d8,23    ,12    ,7     ,inf
210 ,ff57f65abcb787e412f2b23f,23    ,15    ,8     ,inf
211 ,6a1ea4d1d94c802cc26b3269,1616  ,1025  ,771   ,inf
212 ,3356ab382e6e85be65b491dc,86    ,52    ,35    ,inf
213 ,d80909778476002843a89947,33    ,17    ,11    ,inf
214 ,1e0d72b84820a64020cbbc65,34    ,20    ,11    ,52.0
215 ,b10c83915391505b890b9d69,141   ,79    ,44    ,inf
216 ,ce53fc6a6828679b1f9a292a,24    ,15    ,8     ,51.0
217 ,2cc940d6d2fe0a9f8aea9f9d,33    ,20    ,10    ,inf
218 ,540317287fb6f498d948465e,496   ,376   ,191   ,458.0
219 ,14420cc47ea9406d9ee33223,24    ,12    ,8     ,inf
220 ,44a849a1587769b278e47d57,98    ,63    ,35    ,286.0
221 ,b69eb231c3404a7f2b2c01e6,33    ,18    ,10    ,inf
222 ,e977417fd2a3e2d7dddc92a6,686   ,376   ,208   ,inf
223 ,d6aee7bbe7fc851d17905dce,711   ,431   ,206   ,1382.0
224 ,3cdd6a10689546227b8c194a,34    ,18    ,10    ,inf
225 ,58a148dfffb9f6a46e1e43ab,469   ,304   ,181   ,inf
226 ,271e3b20e1b1d5a2ca3a299a,24    ,12    ,9     ,inf
227 ,89d8003e793b6b0dc27009c6,66    ,42    ,24    ,80.0
228 ,b5757ac3706d978ede0678da,178   ,100   ,59    ,inf
229 ,c8904c79e298b0337d7d804e,14940 ,8193  ,4322  ,inf
230 ,b559e586b9327c031ab1bf4b,216   ,109   ,84    ,inf
231 ,bdda161a5f7dd18248161160,919   ,669   ,302   ,inf
232 ,095a9aac10d609a31734a131,33    ,21    ,12    ,35.0
233 ,dd606c61d6c16dc109e890bf,55    ,35    ,21    ,115.0
234 ,1fe42e15b2ac5f0a2dc1a7ee,69    ,42    ,26    ,65.0
235 ,9959be0c6319ad171b9946cb,23    ,14    ,9     ,inf
236 ,846be8bf73329021e9e7bfab,1769  ,1178  ,618   ,inf
237 ,9af1b916dda20f4085c27351,529   ,255   ,189   ,611.0
238 ,63ad5554a2b5804811d5df35,24    ,13    ,8     ,inf
239 ,5db774f450a255c1b6d1c061,60    ,35    ,21    ,200.0
240 ,b723d71ee7257a0551c3e47d,23    ,12    ,7     ,inf
241 ,397eb9b1396f5fa4de64dd8a,153   ,78    ,48    ,inf
242 ,c02b1ce69b6cce97bf3b733d,205   ,114   ,65    ,inf
243 ,d74b5887e8d1ace10569aaa9,157   ,81    ,38    ,inf
244 ,280dbfc0203db21b466b5bde,573   ,292   ,199   ,614.0
245 ,8bfb6d3082f1967c39d28458,34    ,20    ,10    ,inf
246 ,d24b2a33d67abf86f60804e3,76    ,40    ,20    ,136.0
247 ,627465eb817bbb2fd8b97056,23    ,13    ,7     ,42.0
248 ,dbb83b9a061f6107b73e137c,287   ,177   ,138   ,inf
249 ,1da67edad33c27be0db8b1a2,48    ,27    ,16    ,inf
250 ,5c6ef682a98360d7812bfe69,37    ,22    ,14    ,inf
251 ,fd95a15cab33fc8161c1bca0,408   ,222   ,102   ,inf
252 ,906dd7c27de0a267de42eeb8,49    ,31    ,18    ,inf
253 ,2527f83d5ba4f65105a5ec61,80    ,52    ,29    ,inf
254 ,1e08a2b516d6a7cf2f193d12,33    ,17    ,10    ,inf
255 ,7d62c2ce62d876ff093a994c,23    ,12    ,7     ,inf
256 ,6e14b97b83d800bf4060ae9f,52    ,30    ,21    ,inf
257 ,7ff9c41e65b78495e62d07ed,9946  ,5486  ,3744  ,inf
258 ,ea0708e63b8622cffce62159,33    ,17    ,10    ,inf
259 ,055b70e2d3985a1466dd346e,126   ,79    ,50    ,inf
260 ,af7b5217b3c90c9ba10554c6,24    ,12    ,8     ,inf
261 ,3c2e48fe04d14989500c8fea,61    ,40    ,20    ,inf
262 ,942303e2fe82424dc7ba68c3,33    ,18    ,13    ,42.0
263 ,cab436f0ebc84f374d9833c3,23    ,15    ,8     ,inf
264 ,b6a5f952159bb167403f8c1e,54    ,33    ,17    ,inf
265 ,ac5c571683c7da3e10512e3c,81    ,43    ,25    ,inf
266 ,7f254a11e306ff58c8594d06,24    ,13    ,7     ,inf
267 ,2f0d98f99f1ea14898e1c472,34    ,17    ,11    ,inf
268 ,e7f47a93b1ea4cbcdd26c226,23    ,13    ,8     ,inf
269 ,32e1460e01b0bad25623f080,34    ,19    ,10    ,inf
270 ,3e39431aa93dbfed4b1b9e20,53    ,30    ,19    ,inf
271 ,493a9e0c57ab9521417b1000,23    ,14    ,7     ,inf
272 ,14b4fe84efbb8d9d73840b7d,33    ,22    ,10    ,inf
273 ,0b7d42feda97180ab8b181f3,520   ,301   ,195   ,inf
274 ,43f92984a32ba03de6a89cdf,1110  ,564   ,308   ,inf
275 ,e44b5d39ec2f0d15b01e84d8,33    ,18    ,10    ,inf
276 ,e066278ec497b9e8af37f5e4,24    ,12    ,7     ,inf
277 ,903d7ce75128a7fc3a8843f9,34    ,19    ,13    ,52.0
278 ,75dd5917a863fb4c5e0351dd,34    ,18    ,12    ,inf
279 ,fe1f31871ff11614c53f8e5f,45    ,25    ,13    ,inf
280 ,1a41d6ba42300f64c4ca1838,289   ,156   ,104   ,inf
281 ,8c7d158787b2f038ef510478,57    ,31    ,22    ,53.0
282 ,af1979eea0458b836cf79ec0,46    ,30    ,20    ,84.0
283 ,a360d8dff27018369dfc532a,273   ,152   ,114   ,inf
284 ,ed0a9200c1dcd0a92170e739,44    ,24    ,14    ,inf
285 ,7c79851cff043287e1762c04,33    ,21    ,11    ,inf
286 ,f326accc3a0a338aa44c1a42,23    ,15    ,8     ,inf
287 ,c70de1c58d9210540a1b922d,92    ,50    ,31    ,287.0
288 ,d817f94bfa39402cc10b724b,647   ,348   ,204   ,inf
289 ,10b93c4dfaca67b15f9dc409,109   ,66    ,33    ,inf
290 ,c8833a6cd0ea91a8f9180120,34    ,17    ,12    ,27.0
291 ,701e44c7dc7f27387e8638d1,24    ,13    ,7     ,12.0
292 ,f78c0b0523f321a8ac517b56,47    ,30    ,19    ,inf
293 ,3490123bb1ec9f66221e88d4,24    ,15    ,7     ,12.0
294 ,0907a704e58a2d5c5cdcb0fa,185   ,110   ,63    ,inf
295 ,584169469d26b2d677457bdc,34    ,18    ,12    ,58.0
296 ,ade48bd6921a21700ab576fb,23    ,15    ,7     ,inf
297 ,974f8516d2082f1fb1681e16,40    ,22    ,16    ,70.0
298 ,6438f7dcd8d4a0680060e651,23    ,13    ,9     ,23.0
299 ,ae3a4b62cdd11213a06670f4,171   ,82    ,52    ,inf
300 ,312c36bdbc660b443ca122e2,208   ,128   ,74    ,inf
301 ,cb6fbfc57d2442a71e9d4771,24    ,14    ,9     ,inf
302 ,972fb39eee689f594a859534,76    ,40    ,24    ,inf
303 ,a92ae55b7d93591b5b22e12e,115   ,56    ,36    ,94.0
304 ,27eff53ee9622be90419964f,34    ,22    ,13    ,63.0
305 ,2174b85c4a162ac129d91f0f,2488  ,1304  ,804   ,2569.0
306 ,c679d53af87378532512a738,24    ,12    ,9     ,57.0
307 ,06ef0a01769fbb0b00483a9d,503   ,258   ,195   ,973.0
308 ,29f6fd1cdb82d67f0844dfc7,23    ,13    ,7     ,inf
309 ,03f627e9d4220f3631be8dc8,34    ,18    ,13    ,66.0
310 ,80390510b9f424c5765ff189,33    ,22    ,11    ,inf
311 ,fb1db33cbb890e6ba7ebf666,23    ,12    ,7     ,inf
312 ,2d11a526d328988361f07a51,194   ,99    ,62    ,315.0
313 ,334b8a62a40de98190c09493,69    ,42    ,22    ,inf
314 ,156248d1fc88c460186df705,1664  ,884   ,500   ,inf
315 ,879b7b2c4d238d5362376d8a,217   ,126   ,88    ,inf
316 ,bd79747aacd857a79036d237,321   ,165   ,75    ,inf
317 ,6ae321492fb8fc989fe1ce0d,23    ,13    ,9     ,inf
318 ,59bad0cb4b53262752aa8c94,108   ,75    ,36    ,inf
319 ,7029effb5a4e6d308872ab1b,23    ,13    ,7     ,40.0
320 ,2fe74f1ca06da59b5c164bf4,635   ,282   ,186   ,inf
321 ,a76da61389c3433c737cd5fa,23    ,12    ,7     ,inf
322 ,cf0aad6b64b6687e4d402305,688   ,389   ,239   ,inf
323 ,f0cb618a092cab6903e26fc8,23    ,13    ,7     ,22.0
324 ,77722dd4e12f1bdc63a06ec3,587   ,386   ,202   ,inf
325 ,2f71f0b2c3953df461b5a294,579   ,373   ,194   ,inf
326 ,3f65a8dac510caf08df3ec43,39    ,23    ,11    ,inf
327 ,d9720f58a4e48b630eb274a5,23    ,15    ,9     ,inf
328 ,7f355767e623c18b73e33fa0,24    ,12    ,8     ,inf
329 ,e164fbb0b85614f21a77c7c0,539   ,361   ,192   ,594.0
330 ,8e3fd077249aa15cdb7f6833,84    ,56    ,26    ,inf
331 ,6062dfc0fef746731e39ea7d,34    ,21    ,12    ,46.0
332 ,9c8bdf938b22313aaba31f0c,141   ,90    ,52    ,inf
333 ,959567f1448f65ce9611bf99,23    ,13    ,7     ,inf
334 ,5b9bb30eab74c777e0e0ddbc,79    ,45    ,32    ,inf
335 ,aef24dec90de5b8db35eb9be,34    ,18    ,12    ,28.0
336 ,19e9b199a03998a29869f092,308   ,179   ,118   ,inf
337 ,9f3d3fbbc36cde931ba8cc4d,23    ,13    ,7     ,inf
338 ,afcd1e86c30d63c6fa588ee4,23    ,12    ,7     ,35.0
339 ,77adad4aa4e20948e0eae2c4,78    ,45    ,29    ,inf
340 ,3926829c651ca25f7281be41,43    ,23    ,14    ,inf
341 ,a17d082ae0ecfadae8c5968b,223   ,116   ,66    ,inf
342 ,269665971586e5fd21b3df8b,195   ,102   ,61    ,127.0
343 ,15554211ad440a27ea2a0eca,116   ,88    ,46    ,85.0
344 ,ecec8ec18b6d68039f8519ec,1851  ,1032  ,492   ,inf
345 ,12f9b8f8299b2434ad610469,618   ,312   ,188   ,inf
346 ,2fe41fd6bc13ce388bb57447,147   ,74    ,40    ,inf
347 ,39e0e844a623f6e9d9572812,24    ,15    ,9     ,inf
348 ,8c9348c6652409e07fd5196f,24    ,16    ,9     ,inf
349 ,5e977086d847658735f0988d,23    ,12    ,7     ,inf
350 ,21d649b64b6209b1af1fddff,57    ,36    ,24    ,inf
351 ,5f4a0782624b062441e9dded,53    ,31    ,17    ,inf
352 ,1b40686103c16e7cfd93026f,23    ,12    ,8     ,inf
353 ,0c6b0daf54efd7d3c105fb0e,23    ,12    ,7     ,inf
354 ,48503aad616eac5b56026634,2352  ,1199  ,758   ,inf
355 ,634ae04cf5e19b87b88d023d,23    ,12    ,9     ,inf
356 ,833f411d46a13fe3ca1c2a80,44    ,22    ,17    ,inf
357 ,698c3d5baa08afc6ff4fb0d1,23    ,15    ,7     ,inf
358 ,a4eac1b0628d6185f6278ed7,196   ,120   ,58    ,inf
359 ,edd1134ae1d26270aa5a5562,34    ,19    ,13    ,inf
360 ,6ac14381988bb9c492024c3f,210   ,149   ,80    ,inf
361 ,95a77a773a02cd0aacbbbc82,34    ,23    ,10    ,inf
362 ,2abea13a742f602901952f31,1251  ,1067  ,480   ,783.0
363 ,8b8d5a3ccd1d20bab20fb654,48    ,30    ,22    ,inf
364 ,c742bacf876cc4b2d31b8ecd,23    ,14    ,8     ,inf
365 ,e4352be69d39b2bed30df427,33    ,17    ,12    ,inf
366 ,d61751ca3b4ea483f2e09599,23    ,12    ,7     ,inf
367 ,b26c2e72ba384cb156e58374,23    ,13    ,9     ,inf
368 ,3e619915262e91dd268c6fac,102   ,65    ,39    ,104.0
369 ,a080789317624c5e56bf979e,25    ,13    ,7     ,inf
370 ,d3e9a418eef6208af6246fd3,34    ,20    ,12    ,65.0
371 ,0490c10c091893f03d72e545,202   ,134   ,77    ,256.0
372 ,0db3768cf416300550d70098,23    ,12    ,8     ,inf
373 ,951c337993804f305b345ba5,23    ,12    ,9     ,39.0
374 ,e2e4549790eaecc030709d8b,34    ,22    ,12    ,inf
375 ,23cb01aed82f6b6cb61c4394,672   ,293   ,203   ,inf
376 ,556944eac036007daa7cbb8a,25    ,14    ,8     ,inf
377 ,b6255361ba1801f6d32beadf,1526  ,827   ,467   ,4867.0
378 ,8439d8728490362d843ccca9,24    ,16    ,9     ,inf
379 ,4fad1ce68eb65039738266f2,117   ,60    ,45    ,inf
380 ,84973c53b79e4287c068024c,225   ,123   ,87    ,inf
381 ,cb6d9d2ebdd8920c85cec34b,206   ,135   ,59    ,inf
382 ,30e8a1628da7975de428b6ad,1334  ,773   ,475   ,inf
